Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
DuoScentia AB,5568157084,Nittsjövägen 29,795 91,Rättvik,Rättvik,1.1,2025,1,2010,,,Ny kandidat
DreamTalent AB,5595020909,Hyacintgatan 1 c,256 61,Helsingborg,Helsingborg,1.1,2025,1-4,2024,,,Ny kandidat
Dimple Sverige AB,5592263478,Lövbrunnavägen 44,187 53,Täby,Täby,1.1,2025,1,2019,,,Ny kandidat
Deploy Group AB,5567958771,Pilegården 5 c,436 35,Askim,Göteborg,1.1,2025,1,2009,,,Ny kandidat
Connectas AB,5593194326,Snapphanevägen 18 Lgh 1202,177 54,Järfälla,Järfälla,1.1,2024,3,2021,,,Ny kandidat
CV Sail AB,5590307160,Övre Gatan 1 a,261 61,Landskrona,Landskrona,1.1,2025,1,2015,,,Ny kandidat
CO-WORKER Kandidatförmedling Sverige AB,5567635312,Tredje Tvärgatan 3,802 84,Gävle,Gävle,1.1,2024,2,2008,,,Ny kandidat
CNB Consulting AB,5594305368,Hässelby Strandväg 19 a,165 65,Hässelby,Stockholm,1.1,2025,1-4,2023,,,Ny kandidat
Black Flag Alliance AB,5568926298,Talattagatan 10 a,426 76,Västra Frölunda,Göteborg,1.1,2025,1-4,2012,,,Ny kandidat
Bemia AB,5568718448,Uggledals Byväg 31,427 40,Billdal,Göteborg,1.1,2025,1,2011,,,Ny kandidat
BOND Human Capital AB,5593794844,Västmannagatan 90,113 43,Stockholm,Stockholm,1.1,2025,1,2022,,,Ny kandidat
Avipes Entreprenad och Arbetskraft AB,5566340641,Tomtestigen 9,136 70,Vendelsö,Haninge,1.1,2025,1,2002,,,Ny kandidat
Atvexla AB,5595062810,Vasagatan 10,111 20,Stockholm,Stockholm,1.1,2025,1,2024,,,Ny kandidat
Anfrab Bemanning AB,5592208937,"c/o Fredrik Abrahamsson, Verle 425",446 96,Hålanda,Ale,1.1,2024,2,2019,,,Ny kandidat
4 Sleep & Repeat AB,5591138663,Badhusgatan 14 b,453 30,Lysekil,Lysekil,1.1,2025,1,2017,,,Ny kandidat
Wahrlings Eventbyrå AB,5590779962,Blekingegatan 48,116 62,Stockholm,Stockholm,1.1,2025,1,2016,,,Ny kandidat
Sweden International Enterprises AB,5592891252,"c/o Advokatfirman Allians, Box 3659",103 59,Stockholm,Stockholm,1.1,2022,2,2020,,,Ny kandidat
Partnerteam Sweden AB,5562103639,Hammarby Allé 80 Bv,120 61,Stockholm,Stockholm,1.1,2025,1,1981,,,Ny kandidat
OculoCura AB,5594100470,Storforsplan 5,123 47,Farsta,Stockholm,1.1,2025,2,2022,,,Ny kandidat
Nurse Direct NC AB,5591795843,Kista Alléväg 11,164 55,Kista,Stockholm,1.1,2025,1,2018,,,Ny kandidat
Hagmanbolaget AB,5569851081,Förmansvägen 25 Lgh 1601,117 59,Stockholm,Stockholm,1.1,2025,2,2014,,,Ny kandidat
Gorgis Holding AB,5568805112,Kivra: 556880-5112,106 31,Stockholm,Stockholm,1.1,2025,1,2012,,,Ny kandidat
Emrose AB,5593916249,Björnsonsgatan 58,168 53,Bromma,Stockholm,1.1,2025,1,2022,,,Ny kandidat
Dinc Talent Pool AB,5590921473,Grönbrinksgatan 8,117 59,Stockholm,Stockholm,1.1,2025,1,2016,,,Ny kandidat
Dwyer Consult AB,5568681901,Skoghallsvägen 11,122 42,Enskede,Stockholm,1.1,2025,1,2011,,,Ny kandidat
söderby support AB,5594075292,Hjälmvids Backe 10,136 65,Söderby,Haninge,1.1,2025,1,2022,,,Ny kandidat
frwrd Asset Management AB,5569564700,Tornadogränd 12,176 67,Järfälla,Järfälla,1.1,2025,1,2013,,,Ny kandidat
R Lindahl Consulting AB,5569789554,Eldtomta 4,147 92,Grödinge,Botkyrka,1.1,2025,1,2014,,,Ny kandidat
PaMeri Entreprenad AB,5591050850,Ullbergsvägen 80,135 67,Tyresö,Tyresö,1.1,2025,0,2017,,,Ny kandidat
OLITEK Healthcare AB,5594193723,Norra Årvägen 15,194 57,Upplands Väsby,Upplands Väsby,1.1,2025,1,2023,,,Ny kandidat
NIO AB,5567568158,Dalhemsvägen 52,141 46,Huddinge,Huddinge,1.1,2025,1,2008,,,Ny kandidat
DirektArbete AB,5590478656,Prästgårdsgatan 22,172 32,Sundbyberg,Sundbyberg,1.1,2025,3,2016,,,Ny kandidat
Care Staffing North AB,5594012055,Diligensvägen 5,131 48,Nacka,Nacka,1.1,2025,1,2022,,,Ny kandidat
Bergagruppen i Sverige AB,5590830898,Grandalsvägen 81 b,184 38,Åkersberga,Österåker,1.1,2025,2,2016,,,Ny kandidat
A&W bemanning AB,5594892068,Fornhöjdsvägen 48,152 58,Södertälje,Södertälje,1.1,2025,1,2024,,,Ny kandidat
Syster Vanjas vårdbemanning AB,5591042972,Doktor Forselius Backe 21,413 26,Göteborg,Göteborg,1.1,2025,1,2017,,,Ny kandidat
Swekör AB,5594202128,S:Ta Marias Väg 58,463 71,Lödöse,Lilla Edet,1.1,2026,1,2023,,,Ny kandidat
Square Nine Mangament & Holding AB,5592027873,Berzeliigatan 16,412 53,Göteborg,Göteborg,1.1,2025,0,2019,,,Ny kandidat
Solomio Partner AB,5592673668,Vikhöjdsvägen 8,518 31,Sandared,Borås,1.1,2025,1,2020,,,Ny kandidat
Sjanand AB,5568862964,Idunagatan 26,431 44,Mölndal,Mölndal,1.1,2025,5-9,2012,,,Ny kandidat
Rose Personalservice Sverige AB,5569480006,Karlsbergsgatan 3,504 60,Borås,Borås,1.1,2025,3,2013,,,Ny kandidat
Lindhults Bil & Svets AB,5590362603,Lindhult Höjden 1,519 90,Horred,Mark,1.1,2025,1,2015,,,Ny kandidat
Jocke Odehed AB,5594666918,Båtsmansvägen 4,451 77,Uddevalla,Uddevalla,1.1,2025,1,2024,,,Ny kandidat
Isflaket AB,5567089619,Brattefjäll 32,430 85,Brännö,Göteborg,1.1,2025,2,2006,,,Ny kandidat
Inmont AB,5592416852,Stenum Skolan 2,532 94,Skara,Skara,1.1,2026,1,2020,,,Ny kandidat
Flex Bemanning i Väst AB,5590059134,Cykelvädersgatan 21,418 39,Göteborg,Göteborg,1.1,2025,1,2015,,,Ny kandidat
Commy AB,5592490378,Bolerovägen 17,424 54,Angered,Göteborg,1.1,2025,4,2020,,,Ny kandidat
Adiuva socionomkonsult AB,5590342696,Sparlösa Anderstomt 1,534 90,Vara,Vara,1.1,2025,1,2015,,,Ny kandidat
Zama Medicare AB,5591632970,Lungagatan 43,211 59,Malmö,Malmö,1.1,2025,1,2018,,,Ny kandidat
Staffpartner Sverige AB,5594448770,Kärrmesgatan 20,254 49,Helsingborg,Helsingborg,1.1,2025,2,2023,,,Ny kandidat
SeniorArbetsglädje i Skåne AB,5591499503,Månfararegränd 7,245 38,Staffanstorp,Staffanstorp,1.1,2025,3,2018,,,Ny kandidat
Nordenstad Consulting AB,5595129395,Viktoriagatan 6,252 40,Helsingborg,Helsingborg,1.1,2025,1-4,2024,,,Ny kandidat
N Shine Bilvård & Handel AB,5594996661,Fridarpsvägen 11,289 50,Hanaskog,Östra Göinge,1.1,2025,1,2024,,,Ny kandidat
Eko Ettan AB,5595214486,Saltsjöbadsvägen 42,271 39,Ystad,Ystad,1.1,2025,0,2025,,,Ny kandidat
Cila Beauty AB,5592268501,Baltzarsgatan 18,211 36,Malmö,Malmö,1.1,2024,0,2019,,,Ny kandidat
13 Company AB,5593349334,Eriks Backaväg 15,266 93,Munka-Ljungby,Ängelholm,1.1,2026,1-4,2021,,,Ny kandidat
Poldo AB,5566552971,Hässelby Gård,583 91,Vikingstad,Linköping,1.1,2025,0,2004,,,Ny kandidat
NillisNurse AB,5593393993,Storgatan 66 Lgh 1003,582 28,Linköping,Linköping,1.1,2025,1,2021,,,Ny kandidat
MB Medicare AB,5593368730,Nygatan 39,602 34,Norrköping,Norrköping,1.1,2025,1,2021,,,Ny kandidat
JP Ekonomi i Vadstena AB,5565157582,Roddaregatan 1,591 70,Motala,Motala,1.1,2025,1,1995,,,Ny kandidat
Ekeby Ekonomi AB,5568793045,Ekebyborna 246,591 95,Motala,Motala,1.1,2025,1,2012,,,Ny kandidat
CKJ Bemanning AB,5591887418,Luddingsbovägen 41,605 96,Norrköping,Söderköping,1.1,2025,3,2018,,,Ny kandidat
Bemanning I Götaland AB,5592808926,Brandmannagatan 5 a,582 52,Linköping,Linköping,1.1,2025,1,2020,,,Ny kandidat
AB Hansson Med Crew,5568071806,Vattentornsgatan 30 c,591 36,Motala,Motala,1.1,2025,1,2010,,,Ny kandidat
PKNytt AB,5594282641,Askarbäck 7,743 71,Björklinge,Uppsala,1.1,2025,2,2023,,,Ny kandidat
Intermed AB,5593095804,Åskmolnsvägen 3,743 35,Storvreta,Uppsala,1.1,2025,1,2021,,,Ny kandidat
HNordlander AB,5594044488,Rackarbergsgatan 76 Lgh 1002,752 32,Uppsala,Uppsala,1.1,2026,1,2022,,,Ny kandidat
RODSKAGG AB,5593205619,Kungs-Husby Arnöberg 2,645 93,Strängnäs,Enköping,1.1,2026,1,2021,,,Ny kandidat
EEB Fastighetsförvaltning&Bygg AB,5592748254,"c/o Jesper Noren, Bruksplan 1",815 75,Söderfors,Tierp,1.1,2024,0,2020,,,Ny kandidat
Joakim Einars Bygg och Entreprenad AB,5592937014,Edshults-Sjöarp 16,575 93,Eksjö,Eksjö,1.1,2025,1,2020,,,Ny kandidat
JH Bemanning & Fastighetsservice AB,5594310327,Gärdesgatan 21,598 75,Mariannelund,Eksjö,1.1,2025,1,2023,,,Ny kandidat
Medicinsk fotvård & Hälsa i Halmstad AB,5592957723,Rotstigen 3,305 94,Halmstad,Halmstad,1.1,2025,2,2021,,,Ny kandidat
MSL CARE AB,5592701345,Cellovägen 55,311 76,Falkenberg,Falkenberg,1.1,2025,1,2020,,,Ny kandidat
Lars Broberg konsult AB,5591409080,Fasanvägen 7,302 40,Halmstad,Halmstad,1.1,2025,2,2017,,,Ny kandidat
Idelunds Gräv AB,5592949258,Idelundsvägen 17,439 72,Fjärås,Kungsbacka,1.1,2025,1,2021,,,Ny kandidat
BM Verkstan AB,5594033309,Stallakärrsvägen 56,439 74,Fjärås,Kungsbacka,1.1,2025,0,2022,,,Ny kandidat
M.FAGER AB,5594007964,Lilljas Väg 16,611 38,Nyköping,Nyköping,1.1,2025,1,2022,,,Ny kandidat
Högvalla Entreprenad AB,5593046344,Sättersta Högvalla 1,611 99,Tystberga,Nyköping,1.1,2025,1,2021,,,Ny kandidat
Forskilen AB,5593068538,Forskilen Bocksholm 1,635 20,Eskilstuna,Eskilstuna,1.1,2025,2,2021,,,Ny kandidat
Baronz AB,5594699877,Fräsarvägen 10,647 51,Åkers Styckebruk,Strängnäs,1.1,2025,1,2024,,,Ny kandidat
Per Larsson Entreprenad i Enviken AB,5591428254,Tornvägen 16,790 26,Enviken,Falun,1.1,2025,1,2017,,,Ny kandidat
Nyholm Transport AB,5592821705,Lövstigen 20,776 36,Hedemora,Hedemora,1.1,2026,1,2020,,,Ny kandidat
Lindbergs Terrängfordon AB,5593947582,Björnmossevägen 13 b,771 94,Ludvika,Ludvika,1.1,2025,1,2022,,,Ny kandidat
Innovation by Tom Bergkvist AB,5568863517,Mossgatan 14,784 75,Borlänge,Borlänge,1.1,2025,2,2012,,,Ny kandidat
Högbo 23 AB,5592049315,Lund 16,775 95,Folkärna,Avesta,1.1,2025,1,2019,,,Ny kandidat
EJansson Entreprenad AB,5594769183,Åminnevägen 20,771 94,Ludvika,Ludvika,1.1,2025,1,2024,,,Ny kandidat
Arnea Design och Trading AB,5591031363,"c/o Svenska Standardbolag AB, Box 292",791 27,Falun,Falun,1.1,2024,1,2017,,,Ny kandidat
nrok AB,5593171837,Bränne Backe 7,811 70,Järbo,Sandviken,1.1,2025,1,2021,,,Ny kandidat
Haka Av AB,5594761909,Urforsvägen 16,812 51,Åshammar,Sandviken,1.1,2025,1,2024,,,Ny kandidat
H.Eriksson Ockelbo AB,5592658149,Vansbron 46,816 93,Ockelbo,Ockelbo,1.1,2025,1-4,2020,,,Ny kandidat
Dina Zelnina Läkarkonsult AB,5591955983,Knärotsvägen 16 Lgh 1105,806 33,Gävle,Gävle,1.1,2025,1,2019,,,Ny kandidat
Gåsborn Maskin AB,5591607394,Gåsborn Pilvägen Ekgården 20,682 92,Filipstad,Filipstad,1.1,2025,1,2018,,,Ny kandidat
Gårdarna i Värmland AB,5569041824,Ruds Gård 1,665 92,Kil,Kil,1.1,2024,1,2012,,,Ny kandidat
Pang Boom AB,5593973885,Sigurdsgatan 7 a,721 30,Västerås,Västerås,1.1,2025,0,2022,,,Ny kandidat
Krooks entreprenad AB,5592733348,Videvägen 1 b,734 38,Hallstahammar,Hallstahammar,1.1,2025,2,2020,,,Ny kandidat
G.O. Carlsson AB,5566597497,Lasarettsvägen 12,738 30,Norberg,Norberg,1.1,2026,1,2004,,,Ny kandidat
OGUH Milieu AB,5568596455,Midsommarvägen 36,976 31,Luleå,Luleå,1.1,2025,1,2011,,,Ny kandidat
Nordström Entreprenad & Konsult AB,5595190157,Pitevägen 32,933 93,Abborrträsk,Arvidsjaur,1.1,2025,1,2025,,,Ny kandidat
Larssons Skylt & Reklam AB,5593569089,Vännäsvägen 67,956 92,Överkalix,Överkalix,1.1,2024,0,2021,,,Ny kandidat
Jan Juntti AB,5594541384,Dalgatan 4,957 32,Övertorneå,Övertorneå,1.1,2025,1,2023,,,Ny kandidat
Andreas Enbom Entreprenad AB,5595156000,Älvsbyvägen 1163,941 91,Piteå,Piteå,1.1,2025,1-4,2025,,,Ny kandidat
1111 Motor AB,5594182320,Bodträskvägen 452,945 92,Altersbruk,Piteå,1.1,2025,1,2023,,,Ny kandidat
Lindström Bemanning & Service AB,5594449299,Åbron 1,917 31,Dorotea,Dorotea,1.1,2025,1,2023,,,Ny kandidat
Elevate Kåge AB,5595057356,Dalgatan 5,934 32,Kåge,Skellefteå,1.1,2025,1,2024,,,Ny kandidat
Sonrysa AB,5594471665,Stensövägen 44,392 47,Kalmar,Kalmar,1.1,2025,1,2023,,,Ny kandidat
SSK Olle Ege AB,5594051830,Strandlinjen 10,593 44,Västervik,Västervik,1.1,2025,1,2022,,,Ny kandidat
ABYSS AB,5567713812,Kristinebergsgatan 7,593 35,Västervik,Västervik,1.1,2025,1,2008,,,Ny kandidat
Svenska Düsovit Aktiebolag,5560918756,Wennerbergsgatan,287 32,Strömsnäsbruk,Markaryd,1.1,2025,1-4,1964,,,Ny kandidat
Sam Event & Resurs AB,5567151740,Lämmelvägen 4,352 45,Växjö,Växjö,1.1,2025,2,2006,,,Ny kandidat
Stall ElMa AB,5569129827,Stockaremåla 1,364 33,Åseda,Uppvidinge,1.1,2025,2,2012,,,Ny kandidat
Carolines Transport AB,5591617559,Tröjemålavägen 12,362 56,Ryd,Tingsryd,1.1,2025,1,2018,,,Ny kandidat
Yveborg Holding AB,5590670542,Storgatan 31 f,891 45,Örnsköldsvik,Örnsköldsvik,1.1,2025,1,2016,,,Ny kandidat
Sörfors Mek & Mark AB,5593917106,Sörfors 173,864 92,Matfors,Sundsvall,1.1,2025,1,2022,,,Ny kandidat
Su's Thaimat & Bärodling AB,5590880174,Åsäng 319,861 93,Ljustorp,Timrå,1.1,2025,1-4,2016,,,Ny kandidat
PN Friskvård AB,5567553978,Grönviken 132,865 92,Alnö,Sundsvall,1.1,2025,1,2008,,,Ny kandidat
Gullgård's GammelGård AB,5594719725,Norra Gullgård 519,841 74,Fränsta,Ånge,1.1,2025,1,2024,,,Ny kandidat
EB.Berglund AB,5593920811,Näset 221,844 92,Hammarstrand,Ragunda,1.1,2025,0,2022,,,Ny kandidat
Bakkan Assist AB,5593775496,Sällbacken 13,837 72,Duved,Åre,1.1,2025,1,2022,,,Ny kandidat
WinkIn AB,5593848400,Långa Gatan 34,352 59,Växjö,Växjö,1,2025,1,2022,,,Ny kandidat
Vireos Sustainability Partners AB,5595130625,Fregattgatan 8,426 74,Västra Frölunda,Göteborg,1,2025,1,2024,,,Ny kandidat
VFL Bemanning AB,5591513220,Blåmesvägen 5,247 35,Södra Sandby,Lund,1,2025,1,2018,,,Ny kandidat
TREK STOCKHOLM AB,5594770470,Stadsgården 6,116 45,Stockholm,Stockholm,1,2025,1,2024,,,Ny kandidat
Stockholm Interim AB,5592741259,Sturegatan 64,114 36,Stockholm,Stockholm,1,2025,1,2020,,,Ny kandidat
StaffPro Sweden AB,5590071170,Bondegatan 36,116 33,Stockholm,Stockholm,1,2024,0,2015,,,Ny kandidat
Smart Matchning AB,5593415986,Vikdalsgränd 10 a,131 51,Nacka,Nacka,1,2024,1,2021,,,Ny kandidat
Shakalina Consulting AB,5592714652,Malinbodavägen 30,641 35,Katrineholm,Katrineholm,1,2025,1,2020,,,Ny kandidat
Searchlight Talent AB,5595079467,Kyparevägen 9,393 64,Kalmar,Kalmar,1,2025,2,2024,,,Ny kandidat
Saming Partner AB,5593505745,Slätten 1 Lgh 1401,416 61,Göteborg,Göteborg,1,2025,1,2021,,,Ny kandidat
SAMVERKANSHUSET - Individ & Näringslivsutveckling i Sverige AB,5592941123,Sälenvägen 15,780 67,Sälen,Malung-Sälen,1,2024,3,2020,,,Ny kandidat
SAM International Executive Sweden AB,5592455470,Turning Torso,211 15,Malmö,Malmö,1,2024,1,2020,,,Ny kandidat
Ring Consulting AB,5594971425,Lillsvängen 16,564 32,Bankeryd,Jönköping,1,2025,1,2024,,,Ny kandidat
Restaurangkraft Sverige AB,5593080145,Sofieberg 9,184 91,Åkersberga,Österåker,1,2025,1,2021,,,Ny kandidat
Race Rekrytering AB,5590391115,Jakob Westinsgatan 7,112 20,Stockholm,Stockholm,1,2025,1,2015,,,Ny kandidat
Profondo Rekrytering & Libris AB,5569019275,Hävertgatan 29,254 42,Helsingborg,Helsingborg,1,2025,1,2012,,,Ny kandidat
OnePartnerGroup Fjällriket AB,5591417414,Vretenvägen 10,171 54,Solna,Solna,1,2025,1,2017,,,Ny kandidat
Nätt Consulting AB,5594034554,Mäster Johansgatan 15,416 62,Göteborg,Göteborg,1,2025,1,2022,,,Ny kandidat
Nordic Geo Recruiting AB,5593888935,Kungsgatan 72,111 22,Stockholm,Stockholm,1,2025,1,2022,,,Ny kandidat
Niki Valinger AB,5592822331,Karlbergsvägen 43 b Lgh 1102,113 37,Stockholm,Stockholm,1,2025,1,2020,,,Ny kandidat
Malkea AB,5595350991,Gransätragränd 25,127 36,Skärholmen,Stockholm,1,2025,1,2025,,,Ny kandidat
MEST Rekrytering AB,5567372049,Kung Kristoffers Gata 25,252 34,Helsingborg,Helsingborg,1,2025,1,2007,,,Ny kandidat
Lehtola Ring AB,5591744692,Vinkelvägen 2 a,981 38,Kiruna,Kiruna,1,2025,1,2018,,,Ny kandidat
KAMLIN CAREERS AB,5594871369,Askebygatan 4,602 35,Norrköping,Norrköping,1,2025,1,2024,,,Ny kandidat
Jungbeck consulting AB,5594076555,Vårgårdavägen 28,125 51,Älvsjö,Stockholm,1,2025,1,2022,,,Ny kandidat
Jonas Westergren AB,5563323590,Linbastugränd 6,386 60,Mörbylånga,Mörbylånga,1,2025,1,1988,,,Ny kandidat
Jobmaking Sweden AB,5593391500,Time Building Kistagången 12,164 40,Kista,Stockholm,1,2025,3,2021,,,Ny kandidat
Jobs By Nordics AB,5592751944,Box 5385,102 49,Stockholm,Stockholm,1,2025,1,2020,,,Ny kandidat
Isabel Sundvall AB,5595265926,Bovetevägen 2,181 65,Lidingö,Lidingö,1,2025,1,2025,,,Ny kandidat
Inventum Search AB,5592019243,Ålabodsvägen 85 c,261 62,Glumslöv,Landskrona,1,2025,1,2019,,,Ny kandidat
Hälsinglands Rekrytering AB,5594174186,Forbondevägen 4,824 70,Delsbo,Hudiksvall,1,2025,2,2023,,,Ny kandidat
Hultenheim Search AB,5590166327,Sollidenplan 1,236 42,Höllviken,Vellinge,1,2025,1,2015,,,Ny kandidat
Helena Sävenek Rekrytering AB,5567332654,Näsbergsvägen 21,432 94,Varberg,Varberg,1,2025,1,2007,,,Ny kandidat
Helpsam AB,5590101217,Fyrislundsgatan 36,754 46,Uppsala,Uppsala,1,2025,1,2015,,,Ny kandidat
Four potentials AB,5568253131,Drottninggatan 72 b Lgh 1601,252 21,Helsingborg,Helsingborg,1,2025,1,2010,,,Ny kandidat
EngelbergRosendahl AB,5594019001,Björkliden 1,725 95,Västerås,Västerås,1,2025,0,2022,,,Ny kandidat
Eccelso AB,5592154495,Köpmangatan 7 b,633 56,Eskilstuna,Eskilstuna,1,2025,1,2019,,,Ny kandidat
E Lundbergs i Norberg AB,5592619943,"c/o E Lundbergs I Norberg AB, Fagerstavägen 55",738 32,Norberg,Norberg,1,2023,0,2020,,,Ny kandidat
Daniel Dudek AB,5569961864,Vindbacken 10,129 40,Hägersten,Stockholm,1,2025,1,2014,,,Ny kandidat
Casting Skåne AB,5594686247,Hyllie Kyrkoväg 57 a,216 16,Limhamn,Malmö,1,2025,1,2024,,,Ny kandidat
Brunella AB,5593535239,"c/o Adv.firman Ulf Ahlstedt AB, Skillnadsgatan 24",416 56,Göteborg,Göteborg,1,2023,1,2021,,,Ny kandidat
Bemanningstjänster i Sverige AB,5591955686,Eklundavägen 22,740 47,Harbo,Heby,1,2025,5,2019,,,Ny kandidat
Avse Management AB,5569772998,Fyrisvallsgatan 22,752 28,Uppsala,Uppsala,1,2024,1,2014,,,Ny kandidat
Aveli Talent Solutions AB,5594254095,Barkarbyvägen 34,177 49,Järfälla,Järfälla,1,2025,1,2023,,,Ny kandidat
Arborelius & co AB,5594844903,Skolgatan 28,276 50,Hammenhög,Simrishamn,1,2025,1,2024,,,Ny kandidat
Anurik Personal AB,5569744187,"c/o Advokatfirman Carler AB, Box 7557",103 93,Stockholm,Stockholm,1,2022,1,2014,,,Ny kandidat
Alpa Bemanning i Solna AB,5593619462,Drottninggatan 97,113 60,Stockholm,Stockholm,1,2025,1-4,2022,,,Ny kandidat
Alex Jobbcenter AB,5593016602,Malmskillnadsgatan 47 b,111 38,Stockholm,Stockholm,1,2024,2,2021,,,Ny kandidat
AWOL Group AB,5569573065,Skolvägen 36,749 60,Örsundsbro,Enköping,1,2026,1-4,2014,,,Ny kandidat
AK Östersund Consulting AB,5590692520,Hellzéngatan 56,871 61,Härnösand,Härnösand,1,2025,1,2016,,,Ny kandidat
Union Rekrytering AB,5594444282,Stormbyvägen 3-5,163 55,Spånga,Stockholm,1,2025,1,2023,,,Ny kandidat
Twin Power AB,5594350224,Sirapsvägen 20 a,123 56,Farsta,Stockholm,1,2024,1,2023,,,Ny kandidat
Sonma Consulting AB,5590482773,Tomtebogatan 34 c,113 38,Stockholm,Stockholm,1,2024,0,2016,,,Ny kandidat
EHB Stockholm AB,5590076690,Bråvallagatan 10 4 Tr,113 36,Stockholm,Stockholm,1,2025,1,2015,,,Ny kandidat
Zest Care Society AB,5592744188,Skogsövägen 92,133 33,Saltsjöbaden,Nacka,1,2025,2,2020,,,Ny kandidat
Vela Bemanning AB,5594919465,Storängsvägen 114,136 72,Vendelsö,Haninge,1,2025,2,2024,,,Ny kandidat
Tjädertuppen STHLM AB,5592418197,Sadelmakarvägen 6,146 33,Tullinge,Botkyrka,1,2025,0,2020,,,Ny kandidat
Renderos Stockholm AB,5591782221,Nätvägen 9,148 35,Ösmo,Nynäshamn,1,2025,1,2018,,,Ny kandidat
NexPharma AB,5594926023,Mosshagestigen 220 Lgh 1001,144 51,Rönninge,Salem,1,2026,1,2024,,,Ny kandidat
NAVA International AB,5568882632,Ankdammsgatan 22,171 43,Solna,Solna,1,2025,1,2012,,,Ny kandidat
Måleva AB,5594276429,Ogan 12,153 95,Järna,Södertälje,1,2025,1,2023,,,Ny kandidat
Mauritz Grävservice AB,5569910085,Lässmyravägen 2,148 93,Landfjärden,Nynäshamn,1,2025,1,2014,,,Ny kandidat
Härad Entreprenad AB,5593720161,Malmsjövägen 9,147 63,Uttran,Botkyrka,1,2025,2,2022,,,Ny kandidat
Entreprenadstyrning i Stockholm AB,5594476045,Fenix Väg 16,134 44,Gustavsberg,Värmdö,1,2025,0,2023,,,Ny kandidat
Atroval AB,5568173131,Atfares Väg 19,192 77,Sollentuna,Sollentuna,1,2025,0,2010,,,Ny kandidat
Asan Care AB,5592836166,Hagtornsvägen 2,191 44,Sollentuna,Sollentuna,1,2025,2,2020,,,Ny kandidat
Allonge AB,5593174773,"c/o Sunds Affärsjuridik, Box 1189",171 23,Solna,Solna,1,2025,2,2021,,,Ny kandidat
Ahlinder Service AB,5592999584,Södra Parkhemsvägen 22,146 48,Tullinge,Botkyrka,1,2025,1,2021,,,Ny kandidat
Thriving AB,5569020190,Nötvivelvägen 35,444 46,Stenungsund,Stenungsund,1,2025,1,2012,,,Ny kandidat
TKI Hjo AB,5567010086,Box 34,541 21,Skövde,Skövde,1,2024,1,2006,,,Ny kandidat
Struma AB,5591447387,Blåsvädersgatan 14 Lgh 1301,418 32,Göteborg,Göteborg,1,2024,1,2018,,,Ny kandidat
S3 Event AB,5595042234,Box 2057,442 50,Ytterby,Kungälv,1,2025,1,2024,,,Ny kandidat
Rubys VVS AB,5590887898,Krontofta 411,444 96,Ödsmål,Stenungsund,1,2025,1,2016,,,Ny kandidat
Raknebo Åkeri AB,5567600647,Raknebo 210,451 92,Uddevalla,Uddevalla,1,2025,2,2008,,,Ny kandidat
Mudemio AB,5594750340,Kellgrensgatan 21,521 51,Floby,Falköping,1,2025,1,2024,,,Ny kandidat
M.C.N. Invest AB,5590471743,Sisjövägen 167,436 38,Askim,Göteborg,1,2025,1,2016,,,Ny kandidat
Kvarntorps Mek & Svets AB,5592497365,Kvarntorp 4,458 96,Högsäter,Färgelanda,1,2025,1,2020,,,Ny kandidat
Iswecare AB,5590108998,Kongahällagatan 12,442 38,Kungälv,Kungälv,1,2025,1,2015,,,Ny kandidat
Hjul & Entreprenad Service i Alingsås AB,5567273486,Vittene Säteri 11,441 92,Alingsås,Vårgårda,1,2025,1,2007,,,Ny kandidat
Health Art i Göteborg AB,5590616933,Kvarnbyvallen 5 Läg 1401,431 34,Mölndal,Mölndal,1,2025,1,2016,,,Ny kandidat
Hagman Entreprenad & Bemanning AB,5594509290,Holmen 163,462 96,Frändefors,Vänersborg,1,2025,1,2023,,,Ny kandidat
HAO Golf & Hälsa AB,5592572100,Skråröd 117,451 93,Uddevalla,Uddevalla,1,2025,1,2020,,,Ny kandidat
Global Konsult AB,5594077264,Hagavägen 17,518 40,Sjömarken,Borås,1,2025,1-4,2022,,,Ny kandidat
Gerles Service & Bemanning AB,5594183542,Timmervik 160,442 91,Romelanda,Kungälv,1,2025,1-4,2023,,,Ny kandidat
Eliteva Care & Beauty AB,5593868424,Hansvägen 10,446 38,Älvängen,Ale,1,2025,1,2022,,,Ny kandidat
ETEON Consulting AB,5593153652,Ålstigen 12 b,444 61,Stora Höga,Stenungsund,1,2025,1,2021,,,Ny kandidat
EFF BYGG AB,5590034962,Ålegårdsgatan 1,431 50,Mölndal,Mölndal,1,2024,1-4,2015,,,Ny kandidat
Dolatiorthodontics AB,5592877277,Kvarnbyvallen 16,431 34,Mölndal,Mölndal,1,2025,1,2020,,,Ny kandidat
DnZ solutions AB,5594426537,Lotsgatan 5 b,414 58,Göteborg,Göteborg,1,2024,1,2023,,,Ny kandidat
CF Göteborg Consulting AB,5593827305,Älvebacken 28,442 47,Kungälv,Kungälv,1,2025,1,2022,,,Ny kandidat
Alsofi Vårdbemanning AB,5594683772,Kyrkogatan 10 b,549 76,Väring,Skövde,1,2025,0,2024,,,Ny kandidat
AVB Event AB,5591464515,Jonstorp Nordgården 5,447 95,Vårgårda,Vårgårda,1,2025,1,2018,,,Ny kandidat
